symbol,fast_ema,slow_ema,total_return,sharpe_ratio,num_trades,win_rate,final_value
KLRHO,26,162,0.7499862321516417,1.7599467805631768,4,0.5,174998.62321516417
ECILC,7,75,-0.42803456146377566,1.725141451874402,24,0.0,57196.54385362243
ASELS,11,166,1.3023985583222961,1.6936259926247377,4,0.5,230239.8558322296
BIMAS,9,202,-0.36530132819213884,1.4877897675227945,10,0.0,63469.86718078612
EKGYO,46,140,0.3604798021062661,1.4290663467393883,4,1.0,136047.9802106266
OYAKC,23,115,0.3538554706778715,1.3548470095144427,4,0.5,135385.54706778715
KOZAA,19,115,0.2947766235504151,1.3016983192512621,4,0.5,129477.66235504151
GARAN,23,210,0.002505880424499337,1.279127922172734,4,0.5,100250.58804244993
HALKB,19,115,0.28247616618972765,1.279119739085539,4,0.5,128247.61661897277
AGESA,21,127,0.2483275059643552,1.259930957028274,4,1.0,124832.75059643552
ISGYO,16,173,-0.1908891347411729,1.2305836391763756,6,0.3333333333333333,80911.08652588271
SKBNK,27,208,-0.02038250617103564,1.2293666831995704,4,0.5,97961.74938289644
GESAN,18,108,-0.3906099724445337,1.2166320374427864,10,0.0,60939.00275554663
FROTO,13,202,-0.19051537877975483,1.2038055027412915,4,0.0,80948.46212202452
DOHOL,24,157,-0.20421675753936783,1.1694436110003545,8,0.25,79578.32424606322
EREGL,18,155,-0.2626425999236679,1.1686614134099262,8,0.25,73735.74000763321
AKBNK,9,97,-0.2892237792147066,1.1548384376008471,10,0.2,71077.62207852934
KRDMD,14,123,-0.19481274228111287,1.1348218091476199,8,0.0,80518.72577188871
AGHOL,22,208,-0.19989025500000018,1.1086984972351777,4,0.0,80010.97449999998
KOZAL,49,128,-0.18220949684600826,1.1078377750251884,6,0.3333333333333333,81779.05031539917
ISDMR,21,111,-0.1672641762042996,1.1060654933067666,8,0.0,83273.58237957004
MPARK,21,196,-0.13876855999999999,1.0809165357357775,4,0.0,86123.144
IPEKE,21,110,0.07869793421463007,1.078163348142988,4,0.5,107869.79342146301
ISCTR,20,135,-0.18676026353584282,1.0463475071248525,6,0.0,81323.97364641572
INDES,18,135,-0.1578421127353191,1.0319161406281752,4,0.0,84215.78872646809
ALGYO,19,101,-0.07833418576766955,1.0049771090394979,6,0.3333333333333333,92166.58142323304
ALKIM,48,179,-0.18065427608058934,1.004310386200977,4,0.0,81934.57239194107
AEFES,24,181,-0.23323041287979127,0.9999618114734606,4,0.0,76676.95871202087
PGSUS,17,107,-0.16045958573699928,0.9994980418198992,6,0.0,83954.04142630007
ARCLK,20,148,-0.11214696991943376,0.9910748053308029,4,0.0,88785.30300805662
DOAS,39,162,-0.2698717287982175,0.9305383650476964,4,0.0,73012.82712017825
KARTN,21,70,-0.1128727890437316,0.9264758320944936,6,0.3333333333333333,88712.72109562684
ERBOS,21,135,0.0,0.0,0,0.0,100000.0
ENKAI,21,135,0.0,0.0,0,0.0,100000.0
AKSEN,21,135,-0.10203110158004754,0.0,2,0.0,89796.88984199525
AKSA,21,135,-0.057449797172546384,0.0,2,0.0,94255.02028274536
EGEEN,21,135,0.0,0.0,0,0.0,100000.0
ANSGR,21,135,-0.03880068421081538,0.0,2,0.0,96119.93157891846
KONTR,21,135,0.0,0.0,0,0.0,100000.0
KCHOL,21,135,-0.056118008034668015,0.0,2,0.0,94388.1991965332
IZMDC,21,135,0.0,0.0,0,0.0,100000.0
KARSN,21,135,0.0,0.0,0,0.0,100000.0
ISFIN,21,135,-0.014299420207500661,0.0,2,0.0,98570.05797924993
GUBRF,21,135,0.4709583807769779,0.0,2,1.0,147095.8380776978
HEKTS,21,135,0.0,0.0,0,0.0,100000.0
KONYA,21,135,0.0,0.0,0,0.0,100000.0
OTKAR,21,135,-0.17112088000000003,0.0,2,0.0,82887.912
ODAS,21,135,0.0,0.0,0,0.0,100000.0
MAVI,21,135,0.0,0.0,0,0.0,100000.0
PETKM,21,135,0.0,0.0,0,0.0,100000.0
QUAGR,21,135,0.8523052621638967,0.0,2,1.0,185230.52621638967
SAHOL,21,135,-0.12575195117416385,0.0,2,0.0,87424.80488258362
SASA,21,135,-0.10052979322753425,0.0,2,0.0,89947.02067724658
SISE,21,135,0.0,0.0,0,0.0,100000.0
